iteration,steps,time_consumed
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0009989738464355469
5,5,0.0010001659393310547
5,5,0.0010342597961425781
8,6,0.0009660720825195312
6,6,0.0009992122650146484
7,7,0.0010066032409667969
10,7,0.0019960403442382812
7,7,0.000995635986328125
195,14,0.0029981136322021484
11,8,0.0010006427764892578
14,8,0.0010004043579101562
8,8,0.0009999275207519531
24,8,0.0019991397857666016
136,13,0.0030007362365722656
11,9,0.00200653076171875
19,9,0.001992464065551758
19,9,0.00099945068359375
24,9,0.0009987354278564453
9,9,0.0
20,9,0.0010004043579101562
432,16,0.004000425338745117
374,16,0.006000995635986328
53,10,0.0009980201721191406
20,10,0.001999378204345703
21,11,0.0020008087158203125
488,17,0.006001472473144531
719,17,0.007997751235961914
37,11,0.0010008811950683594
79,11,0.0019998550415039062
28,11,0.00099945068359375
22,11,0.0020003318786621094
34,11,0.0009996891021728516
15,11,0.002000570297241211
37,11,0.002002716064453125
53,11,0.0019943714141845703
49,11,0.0020012855529785156
61,11,0.0009984970092773438
46,11,0.0020003318786621094
58391,29,0.5263457298278809
8299,24,0.06799626350402832
7618,23,0.061998605728149414
2949,21,0.0269777774810791
23010,26,0.21950078010559082
21489,26,0.16363239288330078
2762,21,0.02599954605102539
61416,29,0.5744061470031738
1235,19,0.01399850845336914
117534,31,1.0092356204986572
7539,23,0.11699700355529785
46839,28,0.39612364768981934
2620,21,0.032999277114868164
13142,25,0.10224437713623047
15237,25,0.16255950927734375
12623,24,0.09614992141723633
57142,29,0.47341108322143555
41576,28,0.35390281677246094
57233,29,0.5230908393859863
5656,22,0.048986196517944336
7197,23,0.05799674987792969
1197,19,0.011968612670898438
20768,26,0.15603923797607422
1736,19,0.018184185028076172
4395,22,0.08716130256652832
52921,28,0.4366114139556885
5509,23,0.04798388481140137
42665,28,0.36365270614624023
203,14,0.0053555965423583984
4378,22,0.03614020347595215
14037,25,0.11051321029663086
21988,26,0.2089076042175293
2892,21,0.033982038497924805
127029,31,1.1705639362335205
42103,28,0.3631434440612793
95550,30,0.8244025707244873
278,15,0.004999876022338867
32355,27,0.28643202781677246
16314,25,0.12206387519836426
13675,25,0.14908242225646973
20474,26,0.15493011474609375
6502,23,0.053019046783447266
15668,25,0.16286706924438477
17293,25,0.1301741600036621
10047,24,0.08099484443664551
13338,25,0.14720916748046875
13642,24,0.1036996841430664
6286,23,0.05198073387145996
10936,24,0.0859978199005127
21091,25,0.20017528533935547
35668,27,0.3123810291290283
26065,27,0.19406485557556152
30554,27,0.2745342254638672
40771,28,0.34609055519104004
386,16,0.005985260009765625
44909,28,0.37808799743652344
3112,21,0.028003454208374023
120229,31,1.0667307376861572
31964,27,0.28394627571105957
15353,25,0.11941647529602051
6720,23,0.05397486686706543
34061,27,0.2969245910644531
14181,25,0.15358781814575195
1185,18,0.010994911193847656
60625,29,0.4966304302215576
16534,25,0.12529277801513672
447,17,0.005998373031616211
4809,22,0.08681845664978027
33715,27,0.24796152114868164
144505,31,1.2317743301391602
25150,26,0.23573017120361328
23497,26,0.23061823844909668
12679,25,0.09998369216918945
10476,25,0.08299756050109863
2370,20,0.021271944046020508
36976,27,0.3166210651397705
121799,31,1.0923676490783691
3083,21,0.027050018310546875
262,15,0.004000425338745117
4687,22,0.04068279266357422
46779,28,0.3955700397491455
7721,23,0.05998635292053223
14626,25,0.1571204662322998
9593,24,0.07599163055419922
45296,28,0.382235050201416
129811,31,1.15812349319458
14104,25,0.10602378845214844
11460,24,0.13263869285583496
2811,21,0.02498936653137207
496,16,0.00599980354309082
18751,26,0.14215660095214844
75867,29,0.6564061641693115
116008,31,0.9793004989624023
31870,27,0.2809433937072754
35308,27,0.30665040016174316
15777,25,0.1245417594909668
6625,23,0.05397510528564453
6372,23,0.09999680519104004
9183,24,0.0709991455078125
994,18,0.008971929550170898
121666,31,1.088594913482666
13056,25,0.10064435005187988
36422,27,0.31490159034729004
8546,24,0.06898617744445801
96696,30,0.8119359016418457
506,17,0.007001399993896484
1816,20,0.018012285232543945
2565,21,0.023000717163085938
1474,19,0.01399993896484375
4838,23,0.040999412536621094
23664,26,0.22459793090820312
60887,29,0.5264904499053955
3795,22,0.03300046920776367
6345,23,0.10199809074401855
2434,20,0.021997690200805664
5318,22,0.0440068244934082
20474,26,0.15391826629638672
4460,22,0.037596702575683594
15056,25,0.16469740867614746
12389,24,0.09506058692932129
14263,25,0.10755062103271484
29222,27,0.2599809169769287
15393,25,0.1186516284942627
64521,29,0.5715198516845703
40159,28,0.34563660621643066
30196,27,0.2730839252471924
21541,26,0.16307306289672852
62391,29,0.5520403385162354
42327,28,0.362457275390625
9990,24,0.08499574661254883
7356,24,0.05799722671508789
7290,23,0.05899691581726074
2501,21,0.02298760414123535
6560,23,0.1025245189666748
21214,26,0.1592106819152832
4214,22,0.03453850746154785
318,16,0.004000186920166016
43233,28,0.3689231872558594
1971,20,0.020026445388793945
5297,23,0.09296894073486328
59705,29,0.4939091205596924
8618,24,0.06799006462097168
2946,21,0.025534629821777344
23456,26,0.22004318237304688
27265,27,0.25667333602905273
15760,25,0.12073516845703125
6052,23,0.049994468688964844
30893,27,0.2715787887573242
5938,23,0.05369901657104492
3462,21,0.02897477149963379
6939,23,0.056664466857910156
7969,23,0.06397867202758789
22614,26,0.21563148498535156
3695,21,0.03197598457336426
36534,27,0.31589770317077637
27954,27,0.25573110580444336
93731,30,0.8157026767730713
10489,24,0.08074665069580078
9095,24,0.06998991966247559
13259,25,0.14449548721313477
1437,19,0.012998580932617188
14902,25,0.11337971687316895
37195,27,0.32105183601379395
38165,27,0.3256986141204834
25526,26,0.18879127502441406
48137,28,0.45452356338500977
3939,22,0.032987356185913086
22706,26,0.17627358436584473
1973,20,0.01899576187133789
13431,25,0.14773917198181152
4078,22,0.03599715232849121
3221,21,0.02800154685974121
12865,25,0.09819507598876953
21558,26,0.21101832389831543
5558,23,0.04700064659118652
66512,29,0.5397017002105713
20231,26,0.1975860595703125
119,13,0.003001689910888672
31464,27,0.2829704284667969
18045,25,0.1349186897277832
9530,24,0.07396769523620605
9588,24,0.11812686920166016
2638,21,0.022958755493164062
95559,30,0.8174600601196289
29864,27,0.22514057159423828
13179,25,0.14771127700805664
6284,23,0.05266714096069336
11997,24,0.0904543399810791
26654,27,0.2452075481414795
2891,21,0.025979995727539062
33266,27,0.2928280830383301
7288,23,0.059311628341674805
10853,24,0.08397102355957031
8839,24,0.07200098037719727
61604,29,0.5509026050567627
639,17,0.008005142211914062
2959,21,0.02599811553955078
4033,22,0.03560447692871094
15772,25,0.11984920501708984
7373,23,0.10890698432922363
4615,22,0.038512468338012695
32790,27,0.29431653022766113
71546,29,0.5951187610626221
9242,24,0.0750420093536377
61077,29,0.552823543548584
1305,19,0.012983322143554688
5830,23,0.049999237060546875
8914,24,0.07200741767883301
3497,22,0.03499555587768555
34734,27,0.306011438369751
30556,27,0.27803826332092285
29847,27,0.26696038246154785
89743,30,0.7748579978942871
6958,23,0.06510663032531738
93997,30,0.8086225986480713
22716,26,0.22270750999450684
71568,29,0.6422185897827148
1780,20,0.016997098922729492
3576,21,0.028997421264648438
7476,23,0.05999922752380371
2670,21,0.022992372512817383
13860,25,0.10702848434448242
1179,19,0.012000322341918945
32984,27,0.2932760715484619
48719,28,0.4007439613342285
71057,29,0.6285955905914307
8316,23,0.06600165367126465
29643,27,0.2681586742401123
49370,28,0.417952299118042
17684,25,0.1784358024597168
9363,24,0.07146763801574707
13183,25,0.10279440879821777
15158,25,0.11661076545715332
15035,25,0.16104769706726074
22777,26,0.16969037055969238
60671,29,0.5478851795196533
25979,27,0.2410893440246582
10263,24,0.08098125457763672
10287,24,0.07999682426452637
3391,21,0.027975797653198242
8985,24,0.06999897956848145
4115,22,0.03599858283996582
22804,26,0.2126307487487793
8898,24,0.07097768783569336
1575,19,0.013979196548461914
43808,28,0.36974573135375977
14699,25,0.15593338012695312
69076,29,0.5627737045288086
170783,32,1.546069622039795
5658,23,0.046980857849121094
3228,21,0.02697610855102539
1790,20,0.016999483108520508
23295,26,0.16960835456848145
42267,28,0.3594357967376709
997,18,0.008983373641967773
62438,29,0.5599353313446045
49567,28,0.4145622253417969
1253,19,0.011996746063232422
72067,29,0.6331017017364502
